Scheepsnaam;Handling;Terminal;Port of discharge;Consignmentnr;Kind of package;Shipping Name;UNO;IMO;Flashpoint;Packaging Group;Equipment number;Stowage position;Quantity in container;Weight in container
ERASMUS 1;Discharge;Terminal 1;Rotterdam;31099422;CONTAINER;ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID, N.O.S.;3077;9;24.0;Minor danger;PBAU3761225;51584;10;12.300.000
ERASMUS 1;Discharge;Terminal 1;Rotterdam;31099424;CONTAINER;FLAMMABLE LIQUID, N.O.S.;1993;3;24.0;Great danger;PBAU3216620;111682;10;20.300.000
ERASMUS 1;Discharge;Terminal 1;Rotterdam;31099426;CONTAINER;BROMOPROPANES;2344;3;24.0;Medium danger;PBAU5211702;251182;10;28.200.000
ERASMUS 1;Transit;Terminal 1;Hamburg;31209444;TANK,RECTANGULAR;DIPENTENE;2052;3;45.0;Minor danger;PBAU0701891;211082;1;20.420.000
ERASMUS 1;Transit;Terminal 1;Hamburg;31209405;BAGS,  WOVEN PLASTICS, WATER RESISTANT;AMINOPHENOLS;2512;6.1;;Minor danger;PBAU7948058;211184;600;15.180.000
ERASMUS 1;Loading;Terminal 1;Hong Kong;31205470;PACKAGE;TRIETHYLENETETRAMINE;2259;8;118.0;Medium danger;PBAU0369043;;18;18.314.000
ERASMUS 1;Loading;Terminal 1;Hong Kong;31205471;PACKAGE;TRIETHYLENETETRAMINE;2259;8;118.0;Medium danger;PBAU3637623;  ;18;18.314.000
ERASMUS 1;Discharge;Terminal 1;Rotterdam;6047773410;CARTON;PERFUMERY PRODUCTS;1266;3;13.0;Medium danger;PBAU8646405;181782;4168;25.881.000
ERASMUS 1;Discharge;Terminal 1;Rotterdam;6047773410;CARTON;PERFUMERY PRODUCTS;1266;3;13.0;Medium danger;PBAU8788992;181584;3742;19.935.000
ERASMUS 1;Discharge;Terminal 1;Rotterdam;6047773410;CARTON;PERFUMERY PRODUCTS;1266;3;13.0;Medium danger;PBAU1309799;181382;5084;25.172.000
ERASMUS 1;Discharge;Terminal 1;Rotterdam;6047773410;CARTON;PERFUMERY PRODUCTS;1266;3;13.0;Medium danger;PBAU5243116;181384;3417;21.663.000
ERASMUS 1;Discharge;Terminal 1;Rotterdam;6047773410;CARTON;PERFUMERY PRODUCTS;1266;3;13.0;Medium danger;PBAU8450458;181582;4413;21.597.000
ERASMUS 1;Transit;Terminal 1;Hamburg;6047792350;PACKAGE;FLAMMABLE LIQUID, TOXIC, N.O.S.;1992;3;30.0;Medium danger;PBAU6330300;100284;16;20.912.000
ERASMUS 1;Transit;Terminal 1;Hamburg;6047792350;PACKAGE;FLAMMABLE LIQUID, TOXIC, N.O.S.;1992;3;30.0;Medium danger;PBAU6432929;100282;16;20.912.000
ERASMUS 1;Discharge;Terminal 1;Rotterdam;6047793640;DRUM;ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID, N.O.S.;3077;9;;Minor danger;PBAU6616531;251084;208;5.699.200
ERASMUS 1;Transit;Terminal 1;Antwerpen;6047801140;TANK,RECTANGULAR;PENTANE-2,4-DIONE;2310;3;38.0;Minor danger;PBAU5737318;150382;1;22.000.000
ERASMUS 1;Transit;Terminal 1;Hamburg;6047802110;DRUM;TOXIC LIQUID, FLAMMABLE, ORGANIC, N.O.S.;2929;6.1;;Medium danger;PBAU1626180;210984;80;16.420.000
ERASMUS 1;Transit;Terminal 1;Hamburg;6047802110;DRUM;TOXIC LIQUID, FLAMMABLE, ORGANIC, N.O.S.;2929;6.1;;Medium danger;PBAU2584849;210982;80;16.420.000
ERASMUS 1;Discharge;Terminal 1;Rotterdam;6050214850;DRUM;PHOSPHORUS PENTOXIDE;1807;8;;Medium danger;PBAU5518268;51582;80;17.520.000
ERASMUS 1;Discharge;Terminal 1;Rotterdam;6050214850;DRUM;PHOSPHORUS PENTOXIDE;1807;8;;Medium danger;PBAU3319240;51682;80;17.520.000
ERASMUS 1;Transit;Terminal 1;Antwerpen;6062258000;PACKAGE;FLAMMABLE LIQUID, CORROSIVE, N.O.S.;2924;3;12.0;Medium danger;PBAU2354813;150384;18;16.326.000
ERASMUS 1;Transit;Terminal 1;Antwerpen;6062258010;PACKAGE;FLAMMABLE LIQUID, CORROSIVE, N.O.S.;2924;3;12.0;Medium danger;PBAU4140424;150386;18;16.326.000
ERASMUS 1;Transit;Terminal 1;Antwerpen;6062258470;PACKAGE;TOXIC LIQUID, FLAMMABLE, ORGANIC, N.O.S.;2929;6.1;;Medium danger;PBAU4359243;130182;18;17.226.000
ERASMUS 1;Discharge;Terminal 1;Rotterdam;6062444530;TANK,RECTANGULAR;TRIMETHYL PHOSPHITE;2329;3;27.0;Minor danger;PBAU2448594;110084;1;21.000.000
ERASMUS 1;Discharge;Terminal 1;Rotterdam;6062444530;TANK,RECTANGULAR;TRIMETHYL PHOSPHITE;2329;3;27.0;Minor danger;PBAU2471491;110082;1;21.000.000
ERASMUS 1;Transit;Terminal 1;Antwerpen;6065697590;DRUM;CALCIUM HYPOCHLORITE, HYDRATED MIXTURE, CORROSIVE;3487;5.1;;Medium danger;PBAU2529008;130784;595;15.649.000
ERASMUS 1;Transit;Terminal 1;Antwerpen;6065697690;DRUM;CALCIUM HYPOCHLORITE, HYDRATED MIXTURE, CORROSIVE;3487;5.1;;Medium danger;PBAU5533663;130782;595;15.649.000
ERASMUS 1;Discharge;Terminal 1;Rotterdam;6065697860;PAIL;CALCIUM HYPOCHLORITE, HYDRATED MIXTURE, CORROSIVE;3487;5.1;;Medium danger;PBAU1929362;90782;1280;13.824.000
ERASMUS 1;Discharge;Terminal 1;Rotterdam;6068994460;BAG;SODIUM CARBONATE PEROXYHYDRATE;3378;5.1;;Medium danger;PBAU3394002;251082;864;21.772.800
ERASMUS 1;Discharge;Terminal 1;Rotterdam;6070257820;TANK,RECTANGULAR;2-DIMETHYLAMINOETHYL ACRYLATE;3302;6.1;;Medium danger;PBAU5009884;191182;1;20.000.000
ERASMUS 1;Discharge;Terminal 1;Rotterdam;6070257820;TANK,RECTANGULAR;2-DIMETHYLAMINOETHYL ACRYLATE;3302;6.1;;Medium danger;PBAU5010015;71682;1;21.080.000
ERASMUS 1;Discharge;Terminal 1;Rotterdam;6070257820;TANK,RECTANGULAR;2-DIMETHYLAMINOETHYL ACRYLATE;3302;6.1;;Medium danger;PBAU4995767;110884;1;19.800.000
ERASMUS 1;Transit;Terminal 1;Antwerpen;6071331760;TANK,RECTANGULAR;CORROSIVE LIQUID, ACIDIC, ORGANIC, N.O.S.;3265;8;;Medium danger;PBAU104918;250384;1;20.000.000
ERASMUS 1;Transit;Terminal 1;Antwerpen;6071331760;TANK,RECTANGULAR;CORROSIVE LIQUID, ACIDIC, ORGANIC, N.O.S.;3265;8;;Medium danger;PBAU104918;250384;1;20.000.000
ERASMUS 1;Transit;Terminal 1;Antwerpen;6071331760;TANK,RECTANGULAR;CORROSIVE LIQUID, ACIDIC, ORGANIC, N.O.S.;3265;8;;Medium danger;PBAU8024111;250386;1;20.000.000
ERASMUS 1;Transit;Terminal 1;Antwerpen;6071331760;TANK,RECTANGULAR;CORROSIVE LIQUID, ACIDIC, ORGANIC, N.O.S.;3265;8;;Medium danger;PBAU8024111;250386;1;20.000.000
ERASMUS 1;Transit;Terminal 1;Antwerpen;6071331760;TANK,RECTANGULAR;CORROSIVE LIQUID, ACIDIC, ORGANIC, N.O.S.;3265;8;;Medium danger;PBAU2435513;250382;1;20.000.000
ERASMUS 1;Transit;Terminal 1;Antwerpen;6071331760;TANK,RECTANGULAR;CORROSIVE LIQUID, ACIDIC, ORGANIC, N.O.S.;3265;8;;Medium danger;PBAU2435513;250382;1;20.000.000
ERASMUS 1;Transit;Terminal 1;Antwerpen;6071331760;TANK,RECTANGULAR;CORROSIVE LIQUID, ACIDIC, ORGANIC, N.O.S.;3265;8;;Medium danger;PBAU2470896;270184;1;20.000.000
ERASMUS 1;Transit;Terminal 1;Antwerpen;6071331760;TANK,RECTANGULAR;CORROSIVE LIQUID, ACIDIC, ORGANIC, N.O.S.;3265;8;;Medium danger;PBAU2470896;270184;1;20.000.000
ERASMUS 1;Transit;Terminal 1;Antwerpen;6071331760;TANK,RECTANGULAR;CORROSIVE LIQUID, ACIDIC, ORGANIC, N.O.S.;3265;8;;Medium danger;PBAU2470978;270186;1;20.000.000
ERASMUS 1;Transit;Terminal 1;Antwerpen;6071331760;TANK,RECTANGULAR;CORROSIVE LIQUID, ACIDIC, ORGANIC, N.O.S.;3265;8;;Medium danger;PBAU2470978;270186;1;20.000.000
ERASMUS 1;Transit;Terminal 1;Antwerpen;6071331760;TANK,RECTANGULAR;CORROSIVE LIQUID, ACIDIC, ORGANIC, N.O.S.;3265;8;;Medium danger;PBAU2471300;270182;1;20.000.000
ERASMUS 1;Transit;Terminal 1;Antwerpen;6071331760;TANK,RECTANGULAR;CORROSIVE LIQUID, ACIDIC, ORGANIC, N.O.S.;3265;8;;Medium danger;PBAU2471300;270182;1;20.000.000
ERASMUS 1;Transit;Terminal 1;Antwerpen;6071331760;TANK,RECTANGULAR;CORROSIVE LIQUID, ACIDIC, ORGANIC, N.O.S.;3265;8;;Medium danger;PBAU2572183;270386;1;20.000.000
ERASMUS 1;Transit;Terminal 1;Antwerpen;6071331760;TANK,RECTANGULAR;CORROSIVE LIQUID, ACIDIC, ORGANIC, N.O.S.;3265;8;;Medium danger;PBAU2572183;270386;1;20.000.000
ERASMUS 1;Transit;Terminal 1;Antwerpen;6071331760;TANK,RECTANGULAR;CORROSIVE LIQUID, ACIDIC, ORGANIC, N.O.S.;3265;8;;Medium danger;PBAU2643008;270384;1;20.000.000
ERASMUS 1;Transit;Terminal 1;Antwerpen;6071331760;TANK,RECTANGULAR;CORROSIVE LIQUID, ACIDIC, ORGANIC, N.O.S.;3265;8;;Medium danger;PBAU2643008;270384;1;20.000.000
ERASMUS 1;Transit;Terminal 1;Antwerpen;6071331760;TANK,RECTANGULAR;CORROSIVE LIQUID, ACIDIC, ORGANIC, N.O.S.;3265;8;;Medium danger;PBAU8401240;270382;1;20.000.000
