Scheepsnaam;Handling;Terminal;Port of discharge;Consignmentnr;Kind of package;Shipping Name;UNO;IMO;Flashpoint;Packaging Group;Equipment number;Stowage position;Quantity in container;Weight in container
Erasmus 1;Transit;Terminal 1;Amsterdam;41787856;Rectangular Tank;AMINOPHENOLS;3378;61;0;Minor danger;PBAU2848525;010182;5447;38090000
Erasmus 1;Transit;Terminal 1;Amsterdam;87139113;Rectangular Tank;FLAMMABLE LIQUID, CORROSIVE, N.O.S.;2796;3;0;Minor danger;PBAU9487000;010282;4425;41931000
Erasmus 1;Transit;Terminal 1;Amsterdam;61429961;Rectangular Tank;TRICHLOROETHYLENE;3082;61;46;Medium danger;PBAU9260422;010382;7393;67535000
Erasmus 1;Discharge;Terminal 1;Amsterdam;70420231;Rectangular Tank;CORROSIVE LIQUID, ACIDIC, ORGANIC, N.O.S.;3487;51;15;Medium danger;PBAU5576842;010482;1403;49989000
Erasmus 1;Discharge;Terminal 1;Amsterdam;90673808;Rectangular Tank;CORROSIVE LIQUID, N.O.S.;1193;3;7;Great danger;PBAU3762962;010582;3038;8243000
Erasmus 1;Discharge;Terminal 1;Amsterdam;72533545;Rectangular Tank;TOXIC LIQUID, FLAMMABLE, ORGANIC, N.O.S.;1866;61;12;Great danger;PBAU3145574;010682;2624;85653000
Erasmus 1;Transit;Terminal 1;Amsterdam;34212226;Rectangular Tank;ETHYL METHYL KETONE (METHYL ETHYL KETONE);3082;3;30;Medium danger;PBAU9589722;010782;6430;71877000
Erasmus 1;Transit;Terminal 1;Amsterdam;19457865;Rectangular Tank;DISINFECTANT, LIQUID, CORROSIVE, N.O.S.;2876;3;0;Minor danger;PBAU2158888;010882;4324;40827000
Erasmus 1;Transit;Terminal 1;Amsterdam;22837742;Rectangular Tank;TRICHLOROETHYLENE;1944;3;13;Medium danger;PBAU6798736;010982;3987;7524000
Erasmus 1;Discharge;Terminal 1;Amsterdam;49313601;Rectangular Tank;PHOSPHORUS PENTOXIDE;2329;8;118;Medium danger;PBAU8730861;011082;1959;25501000
Erasmus 1;Discharge;Terminal 1;Amsterdam;85289029;Rectangular Tank;MATCHES, SAFETY;1779;51;15;Medium danger;PBAU3522099;010184;7068;31546000
Erasmus 1;Discharge;Terminal 1;Amsterdam;66629534;Rectangular Tank;DISINFECTANT, LIQUID, CORROSIVE, N.O.S.;3082;61;15;Minor danger;PBAU8280721;010284;1961;85531000
Erasmus 1;Transit;Terminal 1;Amsterdam;83706844;Rectangular Tank;FURFURYL ALCOHOL;1779;3;27;Minor danger;PBAU5671251;010384;3557;93521000
Erasmus 1;Discharge;Terminal 1;Amsterdam;98561694;Rectangular Tank;RESORCINOL;1992;3;45;Medium danger;PBAU1261384;010484;3062;77660000
Erasmus 1;Transit;Terminal 1;Amsterdam;25136088;Rectangular Tank;RESORCINOL;2512;41;13;Minor danger;PBAU4528188;010584;3393;81695000
Erasmus 1;Discharge;Terminal 1;Amsterdam;65921554;Rectangular Tank;MATCHES, SAFETY;3378;61;0;Medium danger;PBAU1864272;010684;9087;5659000
Erasmus 1;Discharge;Terminal 1;Amsterdam;43572470;Rectangular Tank;RESORCINOL;2734;3;0;Medium danger;PBAU6655878;010784;6644;86897000
Erasmus 1;Discharge;Terminal 1;Amsterdam;66331516;Rectangular Tank;CRESOLS, SOLID;1170;51;0;Medium danger;PBAU5250729;010884;9135;26332000
Erasmus 1;Transit;Terminal 1;Amsterdam;52017764;Rectangular Tank;PENTANE 2,4 DIONE;2874;3;0;Medium danger;PBAU6331605;010984;6354;79044000
Erasmus 1;Transit;Terminal 1;Amsterdam;44436667;Rectangular Tank;TRIETHYLENETETRAMINE;1807;8;13;Medium danger;PBAU2492428;011084;9473;21803000
Erasmus 1;Transit;Terminal 1;Amsterdam;10216351;Rectangular Tank;CORROSIVE LIQUID, N.O.S.;1193;3;15;Medium danger;PBAU3190683;010186;86;99764000
Erasmus 1;Transit;Terminal 1;Amsterdam;82769040;Rectangular Tank;PENTANE 2,4 DIONE;1944;8;0;Minor danger;PBAU4472539;010286;2890;57826000
Erasmus 1;Discharge;Terminal 1;Amsterdam;19348778;Rectangular Tank;SULPHURIC ACID;1219;3;0;Medium danger;PBAU3277400;010386;6809;18190000
Erasmus 1;Discharge;Terminal 1;Amsterdam;74410702;Rectangular Tank;ETHYL ORTHOFORMATE;3272;61;0;Medium danger;PBAU7384711;010486;133;65609000
Erasmus 1;Discharge;Terminal 1;Amsterdam;16992560;Rectangular Tank;FORMIC ACID;3082;3;0;Minor danger;PBAU5273474;010586;8570;16772000
